id	text	labels
eng_a77b7a8a526f324ea4e2c718bc602093	Donald Trump relies on First Amendment	
eng_5f27d15a507eab2a883a540606fb2033	House GOP in no rush to give more Ukraine aid after 6	
eng_17bde4509f6827a979d61cbc2067927b	Israeli adviser to meet with US officials on war	
eng_e45dd717980132b4e4b7f52af2d460bf	so russia commits war crimes, how does that justify ukraine also comitting war crimes?	Political
eng_48fd4261bd4a76099755cda4e0065f2c	Cant wait to watch this episode of Border Security	
eng_f93c4774efc9ee3ad4e08a28e15a5fad	AMERICANS MUST TAKE TO THE STREETS IN SUPPORT OF ALL MILITARY AID TO THE UKRAINIANS!	Political
eng_31d2b0d0417e5d1b2e36bee12b12f8ed	IDF attacks surgically on terrorists from hamas.	
eng_be83aeaa5a326204eb0395a1a8ad5842	Youngkin fails to flip Senate Democrats flip the HouseRichmond TimesDispatch	
eng_dcf5cd434fb7e3af0626735badeeef7c	Were you following Kamala Harris vp account? It gets moved to the next vp automatically upon turnover of the administration.	
eng_2e1b5d38bbe3e56ef345321d9f823c03	GOP Florida governor Ron DeSantis met with protests	
eng_d7d7e6ab02e28ab218fd9bbe18e5cafb	Microphones for imperialism, yet again.	Political, Other
eng_ecad7ac89ae9abfbe7d6cd36e0686eb4	Party for Socialism and Liberation holds demonstrations for	
eng_60770868d3993fae859ac3a65f3ffc7d	Sayyed Houthi Aggression Forces Will Regret if They Miss Ceasefire Opportunity	
eng_32c5c34fcd770aec7358d6476b58b4e7	Front page news NYTimes! Lets save the country from Putin for fvx sake. Cant the main stream news just ONCE side with America over Russian aggression and manipulation?? Sheesh	Political
eng_93b5a648a7db6498698c6eed7ca8a2bc	They said voter fraud doesnt exist tho...	
eng_5fbfaf5f0f4a609ae81fc3ef4239a89b	91. Salaar Part 1 Ceasefire 2023.	
eng_338dc0dceaae99a9d71a64a4c4374ae2	Can we throw out the electoral college, NOW? ONEPERSONONEVOTE	
eng_78530d6fa5f7b6d8b5f042b68e6f56b8	felon musk felon trump IDF supporters	Political, Other
eng_f2ef794b3d760ee3a42e90f848d0b273	"When the rich claim business bail outs, its a positive thing called ""capitalism"" ... when the poor claim benefits, its a negative thing called ""socialism."""	Political
eng_3745e6009580f21fb40a4f1b91c0ae37	Predator weapons, powers, and technology would be no match for THE WOKE MOB!	
eng_f2b39a41b95431d610fa3c071bd33ddd	Four Officers Are Appointed to Everett Police Department	
eng_bf71eb4c0fc19a1ed177e13cfd078aa3	You think putin wants to talk when we are sending money and military aid to Ukraine come on you know that wont happen	
eng_390abdae9814517aace1fff0d943892a	I cannot wait for the next series of Border Security Australias Front Line	
eng_5836d1c4db446e1a501fe30fb1b2615c	Breitbart is racist trash, for revealing Racist trash.	Political, Racial/Ethnic, Other
eng_1be024d1f65cb0d0b2ef173599791369	Still not proof of a rigged election.	
eng_d0a803926140830180cd064ef33fe636	Well see how this story ends. Theres a considerable number of people in congress trying to get him off so he can be a candidate in 2026. Pressure from trumpism will add to that. Hopefully, the charges stick.	Political
eng_0f114aec029e79d2e0e2ec61f9bb6e4d	Donald Trump isnt the only threat U.S	
eng_9f222e138622be11063cbfa773c6a564	GOP governor candidate makes Clark County visitThe Reflector	
eng_17d32431d0fccf2507173d5b3da951df	Hearing set for sanctions motion in West Virginia foster	
eng_737e402f83d6f36f2023195aecac92df	As Joe Biden leaves the White House today, I reflect on his life and legacy.	
eng_73e2bdb23cb36a487bfd99544523e3dc	Evanston equity panel pulls Gaza ceasefire resolutionThe Daily Northwestern	
eng_364993d8ba5f99ec4982cd9ae3109cf2	Just gender ideology or do you reckon he will want some biology lessons too?	Political, Gender/Sexual
eng_8e36410ccd55fa864886f8f1157bdf47	I miss Kamala Harris senate era in these recent confirmation hearings.	
eng_355351a1efb730a3066d76812d1da9f3	Nationalism in America Nationalism in my home country	
eng_592d59c47bacf8f19120d82984540be5	Black America Divided Over Hamas Attack on Israel	
eng_34b8d2423b960faf6fa5fa04e4b5a4f7	Cornel West calls for end to Palestinian occupation at Detroit Metro Times	Political, Racial/Ethnic, Religious, Gender/Sexual
eng_be8d5d885fe460566c7a2c3013e193f6	Most people who dont vote dont even know what the electoral college is, much less how it works.	
eng_b6d10f9f2d77d3087333b84314f02968	Owner of Village Veterinary Clinic Denied License	
eng_fe879fe0d9ceb3d6d6b1a15665d1767c	University of Alabama says campus is ready for GOP	
eng_ac5af5a1fed39262eb5c1ae91f531812	"How does the electoral college contradict the ""concept of democracy?"""	
eng_07644de700ee944342d26d570c2e7086	Im watching CNN WITH THE SOUND TURNED OFF	
eng_bb659208d87276091d3e12d97053821a	opossum war crimes money laundering	
eng_a8edafd9ef28b54d05b7ac19b69d51a3	When even Chip Roy thinks that the GOP has gone too far, thats a sign that the GOP is in freefall.	
eng_0a45e4c6b3afbc224c83689d5f8a02a1	Biden hits Russia with sanctions, shifts troops	
eng_c349524b6412e5b753af566af162dfdb	When you are a victim of a crime they blame the system. When they are a victim of a crime they blame YOU! pelosiattack DefundThePolice	
eng_2c486c3946b56f992a95a0c9dcd48127	So Kamala Harris was really drunk wasnt she?	Political
eng_f5582b3c45669c46714e9c1913e2d2c8	David Emanuel Academy Thanks Stillmore Police Department	
eng_8db27ddd5b8320d3743d9c75abfd123c	So far over 935 rockets have been fired from Gaza towards Israel of which 160 landed within Gaza itself!	
eng_654cd85441d29e5b8227d9fd8e26c444	Donald Trump was indicted twice over the 2020	
eng_811fa5384d62cc7f46ad5722d0addf64	Bucks County native Carol Simantoc killed in Hamas	
eng_af2bd2c49a704abff255d2cbcd2347eb	GOP debate offered Tuscaloosa a chance	
eng_3f21d69c75eefa896793da03deb4844e	EXCUSE YOU? Kamala Harris doesnt owe us .	
eng_3150de4a42f28a3ac4359c591cde67bb	Capitalism is siphoning my energy	
eng_fb72eabaced73718385b5f2dc94fe878	100 of Palestinians in Gaza and 95 of Palestinians in the West Bank live under Palestinian law.	
eng_82fdae1bcd1006be517cb97709073778	Well, goverment full of anti immigration hate speech, what can go wrong? Exactly this.	Political, Racial/Ethnic
eng_198fa04f63b55d91a470ff98859231e4	Bernardsville Democrats back business improvement districtNew Jersey Hills Media Group	
eng_f85ddeb4e24a77d881d1a54b148409d7	Another 3 billion in military aid for Ukraine.	
eng_1af1d3c66cac206703a9a7a9d46ea5fb	Take their natural resourcesthe ultimate in imperialism	
eng_a9681f4ee0df3ac9861abc7d54f60aae	America still doesnt understand Kamala Harris ISNT	
eng_5bb613d4a093d8380520bf8a89ab615d	In Winsted, Republicans declare decisive Board	
eng_e77fbd6056cabea7a1753aed2138141c	Imperialism is bad. War is bad. Goodnight.	
eng_7e5311dea70905a7f814700415b02365	Massachusetts faces a migrant crisis and a labor shortageThe Berkshire Eagle	
eng_7935cddb1ec3cba02892a1b455a5475b	"Exactly they are literally on video saying they need ""martyrdom"" to complete their goal of actual genocide against the jewish state"	Political, Racial/Ethnic, Religious, Other
eng_69a6769eef9b679fd6feaa5728bb1309	Cant believe Trudeau and his woke mob are censoring this	Political
eng_2e7e0df9774f0e2a5204a439a3e2daad	In gaza everyone is journalist,in gaza everyone actor ,in gaza everyone doctor n Hamas terrorist supporter	Political
eng_d70686c0921e6da2c354f5e540a6806d	Any polling places in Pittsburgh with long lines? I have some canvassers Id like to send to do some last minute vote tripling	
eng_87a415a7a111a7ef3a3df09fa1183fab	No more blockade on Gaza Cuba LiftCubaGazaSiege LetGazaCubaLive	
eng_8b72d45c04d66d8e3579ad5b2b3b007e	A CNN journalist pronounced DOGE douche	
eng_6d871be989a5deb482b07b817ba5974d	Two Rivers Supervisory Union Issues Public Notices	
eng_584aedc41cfa1a679d67c65e041622bf	Logan and Hyrum City General Election recount resultsThe Herald	
eng_e63f5954c464b89abe7453800385a316	"Please always refer to Fox as ""Fake News, Fox News"""	Political, Other
eng_3a06609117436898861e470da911f680	Can blue states be a safe heaven in case tose laws are enacted	
eng_5d0f2ade5334c1eacad3a1ad9d34400a	LUKAMAGIC is committing war crimes	Political
eng_c5ce93d49ddc94b24fe396f747947225	Friday Skynet Georgia Protests Sanctions finally	
eng_340d480e5924608b8754367b482dbf57	or maybe because Zionism is a disease	Religious
eng_b4f42dff33096a9c274603f72465bb46	Republican group knocks Donald Trump after his Georgia	
eng_7f121e0851ceaa7c106525dd88ed1a09	Maybe Blue states should start.	
eng_7b4831d3ada5ea2494ed758f198061c2	Amid Challenges, Israeli Basketball Team Plays with a	
eng_56aaf4b25fbcd0a020c4b4b2f05260d9	Registry with border security simple and comprehensive	
eng_be1bf299578e8d52c224f24c55e10c97	Doston family expresses anger, calls for police reform	
eng_ba617ebcf7a55681f356ddd7ba02aa4e	please look For our children in Gaza	
eng_765e6febca37659543c390a9d80aa2cf	Democrats sweep Ogdensburg city council seats, Tooley	
eng_74b0d2b759735926def04811ccdbb06a	Im about 80 sure Kamala Harris doesnt really exist	Political
eng_54a61722af429cbc0863fafc0f5e29c1	So the wealthiest asshole in the world who is an immigrant is an antiimmigration supporter.	Political, Racial/Ethnic
eng_b501d3393dc755a300b9860f5c34145d	Why is MSNBC guest bothsidesing the Ukraine invasion?!?! WHAT?????	Political
eng_6afd36505aa2d840d9cd480372c1c10b	The ship sanctions are working!	
eng_a832d19fbcd38e84c863487cdf3179ef	Appalling decision by Robert Fico to visit Putin. Europe must stand united against Russian aggression, not suck up to authoritarians. @URL	
eng_5ff7db73c253cc2b7209bcb0de3b2e97	Some red states will allow it as well.	
eng_24fc41cfb854f601dcc479054194c024	CNN is pushing Mike Pence.	
eng_3885745e6aa811eda4f1ae11108266d8	STOP RUSSIAN AGGRESSION AGAINST UKRAINE. StopPutin StopRussia	
eng_4179dbe477b14d4e81551eb649256d0e	Whats your solution to this? Trump wasnt anti immigration enough and kamala would have been?	
eng_33707e17d537c7254331084571918670	Killed by the apartheid state Israel	Political, Racial/Ethnic
eng_4512a81617c015511a7364ecef0e7ad5	Red states kill their own voters by rejecting Obamacare.	Political
eng_128927d65821685aa80496a3bdeb981a	BREAKING US sources Joe Biden will visit Israel, the West Bank, and Saudi Arabia in a tour that will continue from July 13 to 16	
eng_f7bf60ab9ec859671ca0db7e977f4058	Yay Marc!!! Your contributions to protecting our voting rights will go down in history as extraordinary! Thank you to you and your team!	
eng_b28b21c574bf74d78b7a8bab13796fbe	He complaining about the border while Biden gets Mexico to pay 1.5 billion for border security.	
eng_7f9c328e5a6a01386b8c9b4977885d68	American multiculturalism at its finest. Merry Christmas Eve to all who celebrate!	
eng_141ddcd5107015cce1c8ef22776b3392	CCP election interference seems to be blatant in Australia. Wow	Political
eng_75018823570326330e9b2f91e05a9eb5	I write it off to all that illegal immigration. Ironic, huh?	
eng_395d95e0590c18ccf23ed00e700481d8	GOP roadblock leaves Marines without confirmed leader	
eng_526dcdfb8c73b37858829b33ff2ab9af	Israeli Shlichim bring a taste of Israel to Camp By the SeaJewish Community Voice	
eng_115aa1ec7081c4a1eb89e37c092138d1	ice cream ice cream ice cream	
eng_dcabb90e45aa25d9e0c0b1498162f7b5	Rep. Al Green is filing new impeachment articles against Trump Live Updates POLITICO	
eng_06dd9042b21adb3ff0decdadc4b61e1e	Trumps trial to start March 4 on election interference	
eng_95c6ea2b799c7308ad3c2e3a4aa383d6	Florida GOP drops loyalty oath, giving big to Trump	
eng_7b337663179d61348ef91dd50c0d84d6	Just like the 60 cases of election fraud that went nowhere. It doesnt matter what the facts are. Their supporters never get past the headline.	Political
eng_30e88295f1f0b8bd2b8b30e1b9db2365	Urgent.. The Hebrew media Nir Dabouri Kochavi gives green light to airstrikes in West Bank, as well as expanding operation.	
eng_f77d62aded1091287e0da61341aa961c	Wednesday Night Revival Service Scheduled at Oak Grove Baptist	
