id	text	labels
hau_faffc925bcf504fc5f105d7048d65027	be like say elon musk don don see shege and pepper for woman hand.😅😅😅😅😅 ##url	
hau_02d4233c60f738d23d660066eee82f35	@USER they are full of shit barayin banza	
hau_b91d92e900c5e350b5b7c8b61d1d45f9	Yan birni nata boko, yan kauye kuma nata Aure. 😂😂	
hau_81682e72afac5d9cbcc5271ae369fed2	4. the 1st lady suddenly loves almajiri..they are currently her children	
hau_528406355bcad3436407a267a853168f	@USER wallahi, allah kare my daga shartin yahudu	
hau_d1797bc0e29ab491f61846c3a591fa3f	@USER ai gara dai su sakko ka haka nan	
hau_39d2b9620728df8e36291249e2714325	@USER ka kyale matsiyata kawai.... ubanwa yace yayi picture haka da wadda ba muharramar saba	
hau_48fc47f3ce1aa46a43e688854e556a81	wai sunce e arna kawai kake turawa. ##url	
hau_9b13b2e186143e6c6a9b2bb8fbfb8c02	tunanin me kiwo din ae ya siyarwa inyamurai ne ba jama'arsa b ##url	
hau_ff8e49d6d21eec23b81807c8d44719cc	@USER the person behind this account i pray allah ya sa ka haifi yar iska... tunda har yanzu baku san haram kuke aikawata ba	
hau_a0f096abaf4fc1d0557f85a5b45992b9	kaf twitter ba hoto me jin jiki kamar na diyar nan 😤 haushi nake ji in nayi karo dasu, gashi kattin banza sai following suke suna rt🤦‍♂️ yan wahala. ##url	
hau_36a38449c2f445cbfa28410e266440c0	Muna rokon Allah ya shirya bala marke Amma tabbas bala marke yayi markade markade kala kala	
hau_5557163320fea28644ec79e1b3edc652	shege don see me finish 🤦🏻‍♀️	
hau_7ef83615514fda0ab6078743b08eaa92	Duk shakiyancin da wannan agwalagwan yake, Buhari ne ya jaza mana tare da wasu sakarkaru 👁️! Gaskiyar batu knn	Political
hau_315cec05a0ace22e27bfca2f1b7cb688	@USER nidai banga inda ya ambaci kalmar kafirci ba amma zaka iya fada man the exact second ko a cikin thread din inda yace masu cewa haka kafirai ne....	
hau_cf375a38b0bc7669ce77b0ba4775349d	@USER dan shegiya jiki ba, dan yar kauye!	
hau_c7082eb307f1ec163c4b5be3eeffb1a2	@USER that our src president is there talking trash. dan kutumar uba	Political
hau_a9d595b048dc7863981e96f9f5808e5a	@USER to ke yar ina ce in su yan duniya ne	
hau_9c6ed4ae7ec8e634a3d4b105a0949596	be like you done see shege 😂😂 ##url	
hau_b3a3b763aaa35d99af8220175ef98cb4	Mutumin arziki ai baya satar akwati	
hau_2615b4712ada81dfd35d3778e36c0a46	Kwankwaso yana mana fatan Masifa a Jahar Kano Su kuma yan Kwankwasiyya sunajin Dadi yakamata kuje ku duba suwaye Boko Haram.  Tir da wannan munanan Kalamai, duk mutum mai hankali da tinani bazai furta wannan kalamai ba.	Political
hau_d5b9fee47c426ba441732ba89de93e91	@USER i have met some almajiri doing great, it all depends on determination of individuals. many have what it takes to succeed in life but yet their end is not different from the ones that were sidelined.	
hau_d07e4c74eea1258bcc068bd92fa09e44	Banda matsala da kowa a siyasa my permanent political enemy is rabiu Musa kwankwaso I will never be in his camp Duk inda yake bana Nan saboda nasan duk inda yaje sai ya yada Rashin gaskiya	Political
hau_56e1047f1b89921ea4c2b8757875bf1a	@USER dan izala, brk da asuba, i'm coming to your birthday, which time?	
hau_c4eb5588170b292dd49af307c89bb52e	my favourite almajiri friend from sokoto. y'all meet my friend #mobilephotography #zeroeditingapp ##url	
hau_29fe5d8f5c856fd2ed0310fd2e89893a	@USER bar dan duniya😂	
hau_776427f470a67bf2d935e4bc25607e13	@USER allahu akbar. masha allah dan izala yaga tuwon shinkafa	
hau_e78906d6e5f84656b8b1debcbf7f8031	kefa doluwa che 😂 ##url	
hau_cde824dfb993f115bcfe34ee796dbe99	@USER a'a malam! issue na believe fah ya wuce tunanin mu! suma kallon mu suke sakarkaru dan muna duƙe duƙe koda yaushe da wanke wanken jiki!	
hau_e5f301b4cb7b7a7ab4dac201381b1ddb	there is this kid (almajiri) we know way back in zaria in 2000, he begs around pz and we often show him kindness those days. today, we hear he is now one of the most ruthless kidnappers on that kaduna-abuja expressway. not a surprise to me.	
hau_b6ec7d9c9fc267f9adde7f05105172f8	@USER jahilci hauka ji all tweets naka duk kafuran yan kwallo amma nida nake musulmi har zuciyarka baka sona don bana tare da wani qato waishi shehu nace ina son annabi da ubangijina shine ranka ya baci wawa daqiqi allah ya ganar dakai 😀😇	Religious
hau_348e6d06994110db315a153e6853c0b5	kaji munafika kuna fita kuna barinta zama zatayi daram!!! ##url	
hau_2762c8201d65668cadf2b1f41bffad03	@USER idan ba haka ba zanyimaki rashin mutunci wlh banza jaka wawiya kawai mtsww kije kiyi aure b kizo kinabin yan siyasaba lashe money kawai	
hau_e7c741eef668345f710023554648bf5f	we supported him we campaigned for him, we voted for him and delivered him to the throne, you may insult me, call me cow, almajiri and what have you, but you can't call me a betrayer. i am a northerner, i am north i always pay my debt. ##url	
hau_4b41425f6d15593f80bf831aaacddaab	@USER wawa dabba jaki, kare dan akuya jahili dan shefiya	
hau_ed5bc62ad23d39cd9d28fa2eb9c60c2b	Yan Kudu suna amfani da Media su Kwaci 'yancin su.  Mu 'yan Arewa ba abunda muke a Media daga maula sai cin zarafin junan mu😐	Racial/Ethnic
hau_3549a2c1328d6c45c5d9c32b8b3846d8	i spotted sheikh ibrahim inyass behind you, yar darika 👍😍 ##url	
hau_e816a0439381d5a26c0ae692243c3165	@USER ko wace yare/kabila da nasu iya shegen...allah ya bamu mata tagari	
hau_1d342365f2373b0b28e270980bde9d4d	we are in covid-19 lockdown but there's many girls child sellers roaming in street, please @USER do something about it, before it move worst then the almajiri issue🙏 ##url	
hau_3bb363551cc7abab19a8499e69dc3b51	@USER see ba? u'll still b d iyamuri u are, arnan banza kafirin hopi, common mistake u are to correct him,u are making it something else,as if u've never made any mistake in ur life.ppl like u are those making disharmony in this country	
hau_68ce45f83b19993712ad6d75cac83b6a	Chab she's speaking the truth,ke wata yar mace kika taba ganin tanada da'a da tarbiya..  But I won't blame her baban tan ne shashan namiji da harzai bar yarsa agun mace.	Gender/Sexual
hau_6fb996eecdd3b28fae048370126c5e10	@USER tsinannu daya. allah yafi su ai matsiyatan banza	
hau_f4947beb29b9135ca566b1dabf195aa3	@USER cewa kawai yayi akwai wata guntuwa dazai taging shima	
hau_d9182aacb28d9ff813ecf76df19c9173	cinsa da shansa da sutura, almajirin da akaga yana bara a kamashi a kuma rufe tsangayar da yake karatu kuma muna jawo hankalin masu iko yadda ake ta kwashe almajirai daga jihohi ana mayar dasu inda suka fito ya kamata a haramta karuwanci a rufe duk wani gidan karuwai, sannan duk	
hau_b45b428fc662dbe4807030686928746a	yarinyar nan yar kauye ce, banzan kulaki ba.... a firuwa 😂😂😂	
hau_005e767b145cbe6cda1857a595a42d02	Ga Alamu  Gwaamnatin AWON IGIYA muka zaba a Kaduna. MASU AWON gwaamnati sun wuce da kayan aikin	Political
hau_b8aa3123f6ef0fae2280e81e892ce98f	@USER wlh arna duniya ne 😂 basuda boyee boyee	
hau_d0b6d7414161d092fc77bee6f265bb18	@USER i see no fault in calling all those names but i think they’re using the name in a different way especially south “no be aboki expect worse” like he’s not educated that’s why he’s acting that.... just the way we label here in the north “ai inyamiri ne” so he loves money.	
hau_45307bc173c00950d468dfe37a3ac598	@USER lol she said inyamiri will always be inyamiri nd i said ever to that cos you people run an online nation, is there a problem 😂😂😂😂, biafraud how market i see say you na wan beg other zones for presidency e be like say ur leaders still wants to be animals with you in the zoo	
hau_86c0ac18526532902bbe7fe1edaef064	Saboda jahilci da kin gaskia da iyya munafirchi na bakano Anna sallah ka kunnawa massalata wuta da,a wani gari akkayi haka da kaji yarda kanawa zasuyi ta haushi kamar karnuka	Racial/Ethnic
hau_25a6a524ec4727d815a45dc216ccc323	@USER dama ai dan izala ne.	
hau_e52bcfc4bed5297747dbd03ce4db78be	tunda uban dan bariki ne va ##url	
hau_a6d70b3ad08289c79f8b0dd0b2835219	Idan mukace Yan Bauchi yan kauye ne sai suce sharri muke musu.  Warris this hilis🏗️	Racial/Ethnic
hau_75725302893e7ca638fdd056616527ae	@USER duk duniya ban ga inda ake makahon mulki irin nigeria. talakan nig be ta6a shigai oni 'yasu ba irin na halin da ake ciki kowa yasani.allah bamu shugabanni ba karnukan yahudu ba. a p c sha jinin mara gata. ##url	Political
hau_420d88eee1f21ec57779cd70f2bd9507	matsiyata ba. kawai don qatar basu yadda da lgbt ba da iskanci shikenan wai sun toye haqqin dan adam kaji yan iska fa ##url	
hau_5e4debf3b2fcc58ade4704fe535e1191	@USER he smells like kafura (camphor)	
hau_0c8e550bf604003ba5b666a7dc681617	Tunda an koreku daga mai kayan Gwari, kawai ku kafa sabuwar jam'iyya mai Bunsuru...😃  Akuya Nigerian People Party...😂	
hau_fb681c80cc0a83dda00e8dd2b3f7fbff	sannun ki yar bariki❤️🥂 ##url	
hau_1e8d3087238c115c1bec34af0241981b	@USER amma most of that jiddahs yan jagaliya ne 😂😂😂	
hau_c52ccef19c5f4c6ab35af828ada17e52	@USER yauwa daman dolaye ne 🤣🤣	
hau_0505594babf213ec6999e02b7fd51afe	@USER ni ai dan izala ne bana hoto 😂	
hau_0cd061621befa3cfdffdb901506d4f8c	yau ga shaggan takar banza, yo dama yaki da chin zarafin da kukeyi na qarya ne. 💔😭 ##url	
hau_7518d8674ab234fb42a587179f8358cf	@USER gaskia ban yadda ba saboda indai kyaune malam kasamu guntuwa saikaji kamar ka goyeta	
hau_6ef803d63d03f0462d0e208350eaec85	@USER wani sakarai😩 ka shareni ko? ha far with 😉	
hau_e00da90dc600fb69197fc884c9efa0f2	@USER mugun wawa ne! 😂😂	
hau_1d389843aef0b2616f5b010098955257	@USER agwagi ne ko karnuka?	
hau_f51d9794df20691db0a643166e027bf2	@USER hakane, amma ai tsoron allah a zuciya yake ba a shigar mutum ba ko rashin kamala, ita kamala wata aba ce daban da kowa zai siffantuwa da ita musulmi da kafiri	
hau_d967884c0099849efaea6796f753fb6e	gaskiya street dinnan yana neman lalacewa,wannan idan har ba gaskiya bane.ka tanaji kalaman da zaka kare kanka a gobe kiyama @USER sai kayi hakuri fa,allah ne ya tara masu hankali da gidadawa a wannan street din ##url	
hau_9f6d7fcfde1699b081592bd60ae6649d	@USER da ganin shegiya kasan yar pdp ceh, haka zaki kare a titi	
hau_bfb222b6b9635e5479211a18c3f8358f	❝in zuciyarka ta zama matsiyaciya ce hannunka kuma sai ya zama faqiri, ba wani taimako da zaka iya yiwa addini.❞	
hau_2768fb0e20a721ffe89fdd76e79191fb	i love it! idan naji yaran arna (under 10 years) suna speaking fluent english👴	
hau_e34f533cd1e376954d3ae43da4cc45ef	@USER kabarmu a layi kaman yan tasha	
hau_db1b8b77971dd25864477d7c3deb263e	@USER kefa malalaciya ce kullun azumi yana baki wahala😂😂😂	
hau_339a885801dcbd9996068cb6fb5c2ac8	dan uwarta itama aa a kashe yar iska ##url	
hau_79d81e176de3d37ab528a3a019c288d2	@USER you have been showed shege i believe lol	
hau_ee29514b8deadb4fc38d905cc72fdbec	😂😂😂akwai arna ai ##url	
hau_50a0741b0869f7b753d33f9d71e01fa3	Jatuma da tsoho suna gombe suna marke ko dan malele ynx hk asmieh	
hau_851a70e0b068cf7f8230ba3bc12b1a94	@USER gaskiya kekan da ace gidan talakawa kika fito da baƙarama mummunar mace za'ai bah	
hau_c0746b281b4881563cfc9a73699698b9	Feminists kaman yan PR ne. Ba maganan hankali suka zo yi ba.	Political, Gender/Sexual
hau_acea707c0577aafb5bdffebed994627c	mugun jaki ne wlh ##url	
hau_b73fcd1336102a67c7828cd03a273171	stories from isolation centres in some states are scary. well, i heard first hand that the almajiri's in kaduna isolation centre are chilling. when they eventually get better, they would miss the enjoyment 🤣	
