id	text	labels
spa_59c4f04c087e7ea9a65daef167965ba2	amigos, aqui una imagen que demuestra por que trump esta en contra del aborto:	Political
spa_328edc44d86194a75e7491facc3e39a2	a ver un partido de champions en bcn!! (soy homosexual y del athletic)	
spa_1915f9a56e2e6f1454d3779eb3ee0677	las feminazis adultas solo necesitan un hombre que las ame y las feminazis adolescentes un papa	Political, Gender/Sexual
spa_04b8c2408bf003c354774d5f846124d0	titulares de hoy. de hoy. no termino de entender como funciona esta dictadura woke-feminazi.	Political, Gender/Sexual
spa_f6cf0cc338cd95a33fbcc9e8493e68c7	es como cuando los antisemitas usan los argumentos de algun judio renegado o de un judio antisionista.	Political, Racial/Ethnic, Religious
spa_9044ced391e110db8ddd22f1efbad9d7	un votante latino de trump deportado	
spa_73b289f6189c3ac05b15d33178dc3d0e	el maricon que me ha hecho un cumplido en el curro hola y teamo	Gender/Sexual
spa_c315edcaa6589034f370657b319ea689	"el judio con la tonelada de antimateria
el judio que vende el boson para comunicaciones cuanticas.
que mas circula?"	
spa_03ac06f646d84b15407ddcbf67e26ef9	castrillon en un pais serio ya estaria deportado	
spa_bb04ba94006a6613d3954eb8b8a65e6a	que hace la puta justicia corrupta espanola de mierda?	Political
spa_95475fede08f692c509b936bd67fbfbb	"en este pais mas feminazis asquerosas dictadoras tienen a la puta justicia "" comprada por el gobierno comunistas de sanchez. una injusticia social."	Political, Gender/Sexual
spa_aa39d0dfdafff3125e5b3ea312d7b97d	sabes que mery es solo una zorra.	Gender/Sexual, Other
spa_8ed04e8d7cda201c0d18d5e4a00390e4	me cagan los gringos por que desconocen a robbie williams, como no es gringo	
spa_95f64aebe11528618a1ee725afa6cb4c	charles tu eres homosexual?	
spa_d5924a0bebe6353535a9f68f650cd8ae	avia,avia,lo mas indigena que lei	
spa_0951d12a59b4274f42108d7fc52db744	"mi apellido paterno es indigena
y el materno es espanol."	
spa_eea3d6efff24f2b9e513e774fc28b9f5	si es de origen judio, y?	
spa_344f424307844c04d03401775ac4d72e	hugo sanchez feminista callate alv!!	Political, Religious
spa_6cb60bc3d3b48143739675ba16afc1aa	tampoco podemos decir que se haya perdido gran cosa si alguien siguio las recomendaciones medicas de un pastor evangelico y murio.	
spa_a9090255b3ea73e760642e07afab34e9	tarde. debio de abortar tu madre	Other
spa_55df729fcfbabcef6bfc770c7a941cc6	el problema de suecia es el islam	Racial/Ethnic, Religious
spa_d3b81302090c92db0c5af5ba8c0c4a7a	claro se ve q vulneren a los hombres no les importa, asco de justicia con esas feminazis sexistas como juezas.	Political
spa_685a630c5c97d085d4004e9693df4c33	los palestinos no estan de acuerdo con este judio.	
spa_c60b9c8ab8ab5d5f39a24fe52616622e	corrupcion con crecimiento y corrupcion chaira.	Political
spa_713e7764d0691611d77dc8d806eccb77	tengo entendido que fuiste protestante y ahora eres catolica? o como es la cosa? disculpa solo quiero saber	
spa_44ce6c07f7b1d0a2b6412a1666396880	e quarta teremos festa evangelica gluten free	
spa_4f01cefa046c42e9fd36e7de28315424	soy una mala zorra	Gender/Sexual, Other
spa_08becf6e0ac73b82ebc4c006a5fb90df	las imagenes de los hispanos siendo deportados encadenados como animales salvajes, me tiene horrorizada viva.	Political, Racial/Ethnic
spa_01c0efa33c9c1a164c0f43782e6ad6a4	bravo alpha tango india sierra tango india sierra	
spa_8bf3812b5f15ba42ae2f1cef97fe219e	esos weyes no pueden no estar patrocinados por alguien de mas derecha de la iglesia evangelica o anexas. vvlv con ese culero.	Political, Racial/Ethnic, Religious, Gender/Sexual
spa_ddb0ec87c1e256635096a2d2ecd624ac	es muy homosexual correrse en la cara d otro tio?	Gender/Sexual
spa_d1944d5e355c4ada6ca040ac70048255	por que chilango es sinonimo de indigena y el 98% de la ciudad de mexico es indigena	
spa_3e339f0ff4925ab1c10aa414530ec6c3	en idioma indigena por favor	
spa_6eb89f43a13a05310cb9304de1bb056b	la sonrisa de los deportados venezolanos al volver a su pais es la gran derrota de donaldo trompas.	
spa_53f0decd9f902de2410a890a36bec9fc	"n0000 una cuenta con un nombre en letra islam le dio like a una foto de mi cara
procedo a mwordear"	
spa_77e38d8a67b31cb534532a0356b0c2a9	"tus rasgos indigena son hermosos. todo tu rostro es hermoso
me fascina tu sonrisa"	
spa_fd70bd72ca9aeb21b4da614892cd0f62	y lo del aborto que? digno de enmarcar.	
spa_38d53ece76d5db1811f5ddc66daee526	elias es nombre de viejo judio	Religious
spa_43943afdba2e62eda60cef45968d67ab	mongoles, cantones y chino-chino.	
spa_3b0e9f95503aed83dcf6d32aad4f3d3c	"a rabascall
agreguemos por las nuestras, a quien ocupo el tercer lugar leonidas iza con 4,77% que es anti-neoliberal, indigena y ambientalista"	
spa_b4863938df14c6f6f553dc4013a1faa0	"la india.
senal que vinieron"	
spa_1db036ea19e594a78cce74c0fcf6162c	como los colonos de usa. mayoria protestante.	
spa_2c40c2237af2587b5377052bb19f2ab6	denle bimba en fila india	
spa_dcefb530ad3c1d415fac45f0946fd91d	presidente mas feminista de la historia por error.	
spa_8bca68afea5cae1f0aab02f1772ffb66	pense lo mismo es la zorra de bluesky wow	
spa_7647b92a06585240f6629904899433e1	sabian que el 21% de la poblacion en mexico es indigena?	
spa_379071176a157d354f841e740873dca9	"esta es la realidad de la posicion judia ante la conversion tal como mantiene el rabino
no hay dialogo posible"	
spa_10f8817dce18bfa54bbb18dae3a1140d	jesus hijo de maria es musulman	
spa_7104dc6c02c06efe3089c8010c695acc	la lerda asquerosa imbecil noviktaespa zorra no soy yo.	Gender/Sexual, Other
spa_d2dca9ca7a772693a15e2b59970cab37	a vos te voy a matar indigena	Racial/Ethnic
spa_2ce258200c6ded42cac18ba1acd316c4	la abstencion de pp y vox impide nombrar hijos adoptivos o predilectos de cuenca a los deportados a campos nazis	Political, Racial/Ethnic, Religious
spa_d14cd9489fae0b1d0e157a06e24d0d3b	pinche judio loco; no oculta su hipocresia	Racial/Ethnic
spa_20837c34a2b38a1fd11b467f88a3552b	si claro, un gobierno judio pronazi	Political, Religious
spa_bc1855371fea0b72e556607dc812192a	soy judio y no sabia	
spa_a86477fc7ae9f2f33fb341fa6ccc2fa6	"gringos viendo una sirenita negra
gringos viendo un asesino comer gente negra,"	Political, Racial/Ethnic
spa_e48cee3bab475320c635c20f0943eb69	ser indigena es cuando vives en tucuman	Racial/Ethnic
spa_12599e3470af29bec338fd0244d37e2e	ke es negro mi ijo es negro	
spa_3f6389481e3608236c72ccbfff46d70e	no es aborto, es constipacion.	Other
spa_d5d56fd3c59e1ac627c616efbd0d9788	pues yo si lo hago vaya zorra jajajaja	Gender/Sexual, Other
