id	text	labels
deu_73922269604c8ac488e19a807c1269f4	">Der Ukraine Vergleich ist passen

Der Ukraine Vergleich ist absolut unpassend - in der Ukraine versteckt sich keine Bande von Terroristen hinter Zivilisten und Geiseln.

Und im Gegensatz zur Hamas versucht die Ukraine b ihre Zivilisten zu schützen."	
deu_e6266d5fe6a654110a8f2c4e08af27fa	Ich wollte dir widersprechen, da ich dachte, etwas anderes gelesen zu haben, aber es ist tatsächlich so, dass Covid-19 das Immunsystem nicht auf Dauer schwächt, bzw. nicht stärker schwächt, als andere Erkrankungen: @USER	
deu_4d7f2f5c4f56fdbda6a0aad7661727af	Ich ergänze um Machtgier, Geldgier, Ideologie und Verblendung.	
deu_4256ba85970a81766825626ac5cb996c	Dieser Politkwechsel von dem die letzte Generation immer spricht? :D	
deu_27b6d9adef36e16649887ecf66dcca86	"Ohne Migration hätte es kein Wirtschaftswunder gegeben und wir wären schon längst bankrott. Migration hat also für unseren Wohlstand gesorgt. 

Nein, die Leute sorgen sich, worüber ständig berichtet wird. War schon immer so und ist auch logisch."	
deu_b7bfc464fd4938b9b2600d345c3efb8d	Ein echt schlechter Witz, dass die bei uns Asyl genießen.	Political, Racial/Ethnic
deu_60be580664a42a5f44f2743ab8addccc	Hat aber keine zwei Monate gedauert bis nachgebessert wurde und seitdem wurden weitere Verfassungsbeschwerden schon gar nicht mehr zur Entscheidung angenommen. Siehe hier und hier.	
deu_c1186017766c80d9f78997262884ab0c	Wie kann man da schon wieder irgend eine gender kacke draus machen….	Political, Racial/Ethnic, Gender/Sexual
deu_69fc993a66093ec003767a76934f087a	Es ist ganz einfach. Wenn die Radarwellen im Bombenraum Sprungparadies Spaß haben wollen die da auch nicht mehr raus. Dann kommen die auch nicht zum Radar zurück. Duh	
deu_c051ed79ac6d6c1da6c69e1115016859	Was nicht verkehrt ist da China mit der ganzen Welt unfair konkurriert (Arbeitsbedingungen, Umweltschutz, etc).	Political, Racial/Ethnic
deu_d7ff6bd6d239b95756795d453b782e59	Nein, das war der russische Angriff auf die Ukraine.	
deu_849e720c7e9acec7df2ed3f3134cf5e4	Die Putenpuppe soll nach Moskau	Political
deu_aef10c0c1e2c3c5a447c1f3ea3e53be2	Ach die Juden wurden verfolgt, weil sie die Regierung kritisiert haben?	
deu_ddc1ae3e17ac48aedd03d4559dc81b93	"Wo denn? Dänemark gegen deutschland?
Ansonsten ist russland raus, die nato kann konventionell mit russland den boden wischen."	
deu_9e7e3e8c4aeb8f48eccbe030a3332e46	Geht noch einfacher. Pass wegschmeißen und dann asyl rufen. Kriegst alles.	Political, Racial/Ethnic
deu_851c256d2b5cea4327f47525e688944c	Wie sie versuchen schonmal Mitleid zu erwecken damit sie bald noch mehr importieren können hier her. Ich lese immer wieder das die Hamas die Leute als Geisel nimmt. Und Moral ist eins aber wenn du statt zu bomben 1000+ Soldaten verlierst im Häuserkampf ist die Entscheidung recht einfach.	Political, Racial/Ethnic
deu_56d7dce40876d26b562ee8f0707f4e99	Selbst wenn's schwarz auf weiß raus käme, dass die ukrainische Regierung dahinter gesteckt hat, würde die Unterstützung nicht stoppen.	Political, Other
deu_0d74dac64cda778ee25d55ebf978a0dc	"Die Obsession der NZZ-Schreiberlinge mit dem Woke-Begriff grenzt wirklich langsam an Geisteskrankheit.

@USER"	Political
deu_84dab3de3f43eea644380830170026df	Während Covid war es besser.	
deu_e6f14e15d06a0eddf19409965ebf5f19	FFF hat zuletzt weit mehr erreicht. Ist dann halt in Corona und Ukrainekrieg ein bisschen untergegangen.	
deu_f1b58469f7383de783cfb783059db1d0	"Russland ist abhängig vom Öl, ohne Krieg ist der Staat gerade ziemlich im Arsch.


Europa ist abhängig vom russischen Öl um Krieg gegen Russland zu führen, wir würden auch bei einem Krieg gegen Russland weiter Putin Geld in den Arsch blasen. Russland mag den Krieg verlieren, aber finanziell trotzdem gestärkt rausgehen."	Political
deu_92577d16d6775551cd1be03ae35ca0a3	Ohne gute migration ist es vorbei mit dem wohlstand.	Political
deu_3543c7bccd7b438e754accf08868437c	System-freundlicher rot-grün-versiffter woke ÖR antwortete bisher nicht /s	Political
deu_fed2b0f9e2a73411c69109602ef528a9	1645 hatten Polen Moskau angenommen  und lange gehalten (Wielka Smuta), Napoleon hat Moskau angenommen und dann wurden verjagt. Napoleon hat @USER Grand Armee vollständig verloren	
deu_c96f770b8d2a260d0af4898b243b1ef9	Ist jetzt kein Alleinstellungsmerkmal des radikalen Islam	
deu_55f99e182cf43da2c435805135e45e5a	The good doctor, also Covid das Thema wurde.	
deu_9a9a7480f88a55e3ac2db303a1e7a1fc	Diese Ereignisse sollten Thema der Aufarbeitung der Covid Zeit  sein.	
deu_fb80228e7c8a0080fb07cb5451ac0648	"Zack bumm russische Propaganda.

War ja einfach."	
deu_0bcb777e1b73e6dbb5c5b2ec715e8033	Da wurden tote juden gefeiert, nicht palestinänsische Freiheit.	Political, Racial/Ethnic, Religious
deu_d3c6859cfda16d6f96db2afa16957302	"Long COVID das dann in Post COVID @USER Ist eine Ausschluss Diagnose. 
Es muss also alles andere was es sein könnte ausgeschlossen werden und dann bleibt nur Long COVID übrig als Diagnose.
Aus Erfahrung kann ich sagen, das werden sehr viele Arzt besuche bei allen möglichen Ärzten."	
deu_f7cb3706585f30e67b2e75a2c926a8ba	Moskau. Von der Politik mal abgesehen ne sehr wilde und pompöse stadt	
deu_8aef24b32610ac93ac1a0e873ea45c00	Du meist als die Araber der UN-Teilungsplan für Palästina nicht akzeptiert haben und dann die Juden zurück ins Meer treiben wollten?	Racial/Ethnic, Religious
deu_a9f831616d33c815332ac3149ac400e4	„Ausländer nehmen unsere Jobs weg!!!11!“ vs. „Ausländer wollen nicht arbeiten!!1“	Political, Racial/Ethnic, Other
deu_a74a04d7b99681e29746616dcbfd83d9	sind meistens die woke people	Political
deu_99b1e38b0d09b1ac17b97d24a3883523	">Die Ukraine kontrolliert nach eigener Darstellung etwa 1000 Quadratkilometer der russischen Oblast Kursk. Moskau-Korrespondent Christoph Wanner fasst die Lage an der Front zusammen. 

@USER (7:02 min)"	
deu_ff9cd00b0692b0f5770661cf25fb53b1	"Nein, das stimmt so nicht.

@USER

@USER

Die allerdings jetzt von uns gelieferten Panzer wurden ausschließlich für eine neue Offensive im Osten der Ukraine gefordert, wo die Ukrainer zuletzt einige Niederlagen einstecken mussten."	
deu_2bb38e9b4ef9c92e9df862137268b19d	Wer will Ausländer töten?	
deu_ad7bad99393dc8925d1a6b943dec4399	das Einzige was an dieser Analogie stimmt ist: Bei Beidem hilft nur die Impfung.	Political, Other
deu_510d7b58c7b75cde317c190b40cf3e66	Zumindest kann jetzt niemand der noch die AFD wählt sagen er sei kein Nazi/Faschist.	Political
deu_47467bb466d02ce1bed1225f465aeffd	Beide Putin-hörig. Beide unwählbar.	Political
deu_ae20edc907c9afd15f2a773ba8922dda	"Deutschlandtakt mit Internationalen Verbindungen bis nach Kiew? Das klingt 
ja selbst für 2074 nach Science-Fiction!"	Political, Other
deu_d2ce2eee1ef65616fa0f7bf26a894562	Araber schließt Afghanen nicht mit ein. Es geht in der deutschen Diskussion halt um Syrer und Afghanen, sind mit Abstand die größten Gruppen aus der Region bei uns im Land.	
deu_9830c52c3b5509c715d264ee2ac5a3c6	Der grüne Michel verbrennt gebundenes CO2.	Political
deu_f9c2d94ad97642d9675bf006cc8170e2	Andererseits sind wir dank Impfung gegen viele Krankheiten von damals immun	
deu_e7f2c9ec5b3fd4bc6595699392d16730	">Rein hypothetisch, was würde passieren wenn Russland auf Russland eine Atombombe schmeisst?


Eine große Explosion."	Racial/Ethnic, Religious
deu_62941d4539ceabc01f25123d2b10a8dd	Dann hätten wir Asyl Mutti behalten sollen? 	Political, Other
deu_fd43466890b8771ff5931a0a7a1777d2	Hoffe, die Gruppe Wagner ist jetzt erst recht entschlossen und nimmt Moskau ein.	
