id	text	labels
tur_64ca743da5bd6934e87611d63829fd8e	yarı yolda bırakan insanların yolunu bulamayışlarını izlemek istiyorum	
tur_fd01ef7f66e23312c3022be48df7cbf8	#Nobel katliamı başladı:Mısır'da Modern Haçlıların Nobelli çocuklarının katliamı da modern! CanlıYayın #TyrantEgyptianArmyStartsKillingAgain	Political, Religious
tur_130fc8bd627c1ca5c9631b77ff96135a	Halk'ı Uyandıralım Hep Birlikte #DirenAnkara Hastagh Yapalım capul_tv Sessiz Kalma !	Political
tur_bb46017d818a69793cbee11b455ca8cf	@USER ööle deme ama. yanına rakı felan açarım ben :))))	
tur_b2a795725bb0d7900b8339c35e0c6172	@USER Küresel güç olan güçlü bir Türkiye hedefliyorsak dünya dili olan İngilizce'ye gerekli önem verilmelidir. İngilizce eğitimini ileri seviyelere taşıyacak öğretmenlerin ataması yapılmalıdır. @USER @USER #İngilizceSeferberliği2Bin 15	
tur_dc3a00d29e697c8878c8b9d3d8d928be	Bir daha oy için derseniz yasayi çekerim derken ne söylemek istediniz Yasa meclise geldide bizimmi haberimiz yok ? @USER İktidar partisi ne derse yapmak zorunda kaldınız seçim beyannamesine koydunuz tasarıları komisyona bile zor getirdiniz @USER	
tur_80a3588ab7720bf24e98b8e40243f87b	Her ogretmen enaz 5bin hayat kurtarmak demek atayin #AçıldıOkullarYapıTasarımÖğretmensiz300Kadro @USER @USER	
tur_57ee708a2834f07b06bffa0f2f54c529	@USER neden bu kadar sasirdin ki size kufre varan hakaretlerde bulunan soylu, kurtulmus, bulut ve bahceli simdi sizinle degilmi siz buna siyaset halk ise onursuzluk diyor yani normal	Political
tur_56670a7a4b7ebb77a962e3f54bcae5a5	@USER @USER 30 milyon Euro bütceyi verdi ama aldiklari baska bir seydi :)	
tur_d2ae8fc1cf6c0d951da3a2642ed7ba0e	Biz ısrarla #maske istiyoruz onlar ısrarla msj atarak para istiyor. Bu maç uzatmaya gider söyleyim.😜 İncirler olana kadar gelseydi maskeler bari😜 #vaka56956 #Covid_19 #pazar #StayHome #duyguozaslan #bizbizeyeteriz #iyipazarlar #EvdeKalSağlıklıKal #EvdeKal #MaskeBulamazsam	Political, Other
tur_45aa92ffd4c052cbf7db7fa680461e08	Bob Ross'un çizimlerini özlediğinizi düşünerek size çizimleri aratmayacak Ankara kareleri bırakmak istedik. 😊 📍Çubuk 1 Barajı	
tur_332476fae8981e512dcffc5d50078271	📍Çobanlar AK Parti Çobanlar İlçe Başkanımız Ali Yalman, Belediye Başkanımız Ali Altuntaş ve teşkilat mensuplarımızla birlikte Çobanlar Ziraat Odası Başkanı İlyas Sarıtaş'ı ziyaret ettik.	
tur_f0ece9ee86309885b6a91ea87998f3cf	Guclu Türkiye'yi hazmedeyen Alman Fransız İngiliz Sırp gâvurlar. Cabanız bosa. Bu buyuk millet laziyla cerkeziyle kurduyle tukuyle tek yürek	Political, Racial/Ethnic
tur_97be1a2b95c85f8812b1182d5cf1ba4f	Trump reyiz gibi göçmen karşıtı oldum. Teşekkürler MÖHUK, teşekkürler Rohingyalı kaçak göçmen çocuk, teşekkürler sayın kürsü. Bu gurur hepimizin. Bunu birlikte başardık...	Political, Racial/Ethnic
tur_e799fd307aac1f52ad32537ebb209b05	Ankara'da doğmuş büyümüş birine başka bir şehri sevdirmen biraz zordur.	
tur_a499b1604fc567182fd3699a6e665a5e	Şuan online olan tüm Müslüman kardeşlerimden bir istirhamım olacak #sekerdegilRamazanBayrami etiketine destek verelim #RT	
tur_937a6b3ec08c82f10bb0e61be3dbd7b5	“KOVA Zekaya fazla önem verir, aptallara asla gelemez! Sosyal hayata düşkündür, özgüveni tamdır. Biraz ağır karar verip ağır hareket eder.”	
tur_aed435480f7d99c6fb005f5848a7baa2	@USER @USER Valla benim adam seviyo. Yapmasan bisküit vs. hazır şeyler yiyo. Onları yemesin, biraz daha doğal yesin diye yapıyorum. Söz dinletemeyince böyle 🙂Misafirimiz var da onun da etkisi var. Yoksa yapmıyorum çok çeşidi bir anda. 🙂😘Teşekkürler 💐	
tur_d929f6489b7a9e95dc3cc5252858609e	@USER @USER rte yi satarak tarihe not düşmek ve rte gidnce ben zaten bu faşist tutmları zamanında eleştirdim diyebilmek için	Political, Racial/Ethnic
tur_cc3c69a18fcd7ac72855d0445f758121	Yaşamak istiyoruz.çaldığınız günlerimizi telafi etmek.sadece mutlu olmak istiyoruz.mal,mülk,makam hepsi sizin olsun... VeyselAvunanın Çığlığı	Political
tur_c59a59f44f819a791b422c92f81512aa	Tabii sana da kömür lazım seçim vakti gelince, o yüzden de madenciye yer altında öl dedin.	Political
tur_16598260e5193e9897a669ce1d79ba3b	AK NEFERLER İLK GÜNKÜ AŞKLA, CUMHURBAŞKANIMIZIN ÖNCÜLÜĞÜNDE 2023'E HAZIR AK Parti Ordu İl Başkanımız Sn. Halit Tomakin'in başkanlığında, Milletvekilimiz Sn. Metin Gündoğdu, Ordu Büyükşehir Belediye Başkan Vekilimiz Sn. Celal Tezcan, ⤵️	Political
tur_4b2503de4e3f068ad2da74ff8ded1f41	Bizimkisi “Abla sus” ile “konuş lubunya” arasında geçip giden bir ömür 📿	
